id,run_id,title,abstract,year,doi,url,source,created_at
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40778859,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Subjective Performance Expectations From and Demographic and Categorical Differences in the Acceptance of Virtual Reality or AI Technologies in Rehabilitation Programs: Cross-Sectional Questionnaire Survey With Rehabilitation Patients,,2025,10.2196/69350,https://pubmed.ncbi.nlm.nih.gov/40778859/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40900536,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Inclusion of planetary health and Sustainable Development Goals in nursing training,,2025,10.1590/0034-7167-2024-0014,https://pubmed.ncbi.nlm.nih.gov/40900536/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40895292,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Social Work Faculty Perceptions on the Need for Inclusive LGBTQIA + Policies in Schools of Social Work,,2024,10.1007/s13178-024-01046-8,https://pubmed.ncbi.nlm.nih.gov/40895292/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40892719,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Effects of mentoring on self-reflection and competence in Final year medical students' internal medicine rotation,,2025,10.1371/journal.pone.0331057,https://pubmed.ncbi.nlm.nih.gov/40892719/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40890704,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Structuring higher-order thinking: a national analysis of learning outcomes in Swedish undergraduate nursing thesis courses,,2025,10.1186/s12912-025-03824-0,https://pubmed.ncbi.nlm.nih.gov/40890704/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40867368,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Whether and When Could Generative AI Improve College Student Learning Engagement?,,2025,10.3390/bs15081011,https://pubmed.ncbi.nlm.nih.gov/40867368/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40880931,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,The impact of electronic device use on learning quality in young children: the mediating role of executive function and the moderating role of parental mediation,,2025,10.3389/fpubh.2025.1609878,https://pubmed.ncbi.nlm.nih.gov/40880931/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40861010,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Use of emerging technologies in rehabilitation education and practice,,2025,10.3389/fresc.2025.1655454,https://pubmed.ncbi.nlm.nih.gov/40861010/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40860168,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,"Promoting recreational opportunities and experiences of students with disabilities, at a University, in Limpopo Province, South Africa",,2025,10.3389/fspor.2025.1590372,https://pubmed.ncbi.nlm.nih.gov/40860168/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40847414,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,The role of generative AI tools in case-based learning and teaching evaluation of medical biochemistry,,2025,10.1186/s12909-025-07567-z,https://pubmed.ncbi.nlm.nih.gov/40847414/,PubMed,2025-09-04 00:16:36.047956
